method,budget,true_class,predicted_class,count,row_normalized
Coordinate_RF,25,4,3,48034,0.09056184012066365
Coordinate_RF,25,4,4,421936,0.7955052790346908
EXP010,50,1,1,1101942,0.7528983328778355
EXP010,50,1,2,287689,0.1965625854058486
EXP010,50,1,3,40606,0.027743919103580213
EXP010,50,1,4,33363,0.02279516261273572
EXP010,50,2,1,557617,0.32601555191768006
EXP010,50,2,2,935104,0.5467165575304023
EXP010,50,2,3,109630,0.06409611786716557
EXP010,50,2,4,108049,0.0631717726847521
EXP010,50,3,1,167600,0.12902232486528098
EXP010,50,3,2,239555,0.18441493456505004
EXP010,50,3,3,720494,0.5546528098537337
EXP010,50,3,4,171351,0.13190993071593535
EXP010,50,4,1,28329,0.053918918918918916
EXP010,50,4,2,74790,0.1423486867148839
EXP010,50,4,3,71857,0.1367662733155691
EXP010,50,4,4,350424,0.6669661210506281
EXPF,50,1,1,1105691,0.755459825088822
EXPF,50,1,2,281007,0.19199713036348728
EXPF,50,1,3,47784,0.0326482645531566
EXPF,50,1,4,29118,0.019894779994534026
EXPF,50,2,1,520740,0.304455098222638
EXPF,50,2,2,967223,0.5654952057998129
EXPF,50,2,3,138999,0.08126695509822264
EXPF,50,2,4,83438,0.04878274087932647
EXPF,50,3,1,152960,0.117752117013087
EXPF,50,3,2,217175,0.16718629715165512
EXPF,50,3,3,809520,0.6231870669745958
EXPF,50,3,4,119345,0.09187451886066204
EXPF,50,4,1,30115,0.05731823372668443
EXPF,50,4,2,72608,0.13819566044918158
EXPF,50,4,3,66974,0.12747240197944423
EXPF,50,4,4,355703,0.6770137038446897
ASTRA_AGF,50,1,1,1140367,0.7791520907351736
ASTRA_AGF,50,1,2,221974,0.1516630226837934
ASTRA_AGF,50,1,3,59637,0.040746788740092924
ASTRA_AGF,50,1,4,41622,0.028438097840940146
ASTRA_AGF,50,2,1,336959,0.1970059635173059
ASTRA_AGF,50,2,2,1073967,0.6279039990645463
ASTRA_AGF,50,2,3,165048,0.09649672591206736
ASTRA_AGF,50,2,4,134426,0.07859331150608045
ASTRA_AGF,50,3,1,77822,0.05990916089299461
ASTRA_AGF,50,3,2,178534,0.1374395688991532
ASTRA_AGF,50,3,3,883254,0.6799491916859123
ASTRA_AGF,50,3,4,159390,0.12270207852193996
ASTRA_AGF,50,4,1,11958,0.022759802055576702
ASTRA_AGF,50,4,2,43866,0.08349067377236391
ASTRA_AGF,50,4,3,46733,0.08894746859535592
ASTRA_AGF,50,4,4,422843,0.8048020555767035
Coordinate_RF,50,1,1,1162013,0.7939416507242416
Coordinate_RF,50,1,2,199819,0.13652569007925663
Coordinate_RF,50,1,3,59727,0.04080828095107953
Coordinate_RF,50,1,4,42041,0.028724378245422247
Coordinate_RF,50,2,1,304695,0.17814253975678204
Coordinate_RF,50,2,2,1109982,0.6489604770813845
Coordinate_RF,50,2,3,161560,0.09445743685687559
Coordinate_RF,50,2,4,134163,0.0784395463049579
Coordinate_RF,50,3,1,79262,0.061017705927636647
Coordinate_RF,50,3,2,179471,0.13816089299461123
Coordinate_RF,50,3,3,881522,0.6786158583525789
Coordinate_RF,50,3,4,158745,0.12220554272517321
Coordinate_RF,50,4,1,11712,0.022291587362009896
Coordinate_RF,50,4,2,43944,0.08363913208983631
Coordinate_RF,50,4,3,46443,0.08839550818424058
