budget,rank,eigenvalue,raw_eigenvalue,rho
5,1,2267259.7944051637,15684271.110434663,1.0
5,2,2211808.0666301316,3394507.2584378826,1.0
5,3,1865391.7648633663,2644757.157757746,1.0
5,4,1862806.9663267545,1848361.1381882967,1.0
5,5,1813993.31582095,1223686.9102807739,1.0
5,6,1536026.4849397053,575637.1313139789,1.0
5,7,1389241.4543328586,418168.2629026215,1.0
5,8,1206428.2475151876,312627.30911665224,1.0
5,9,1164670.1486697753,257959.78116298307,1.0
5,10,1052758.9143960248,191729.53620337788,1.0
5,11,915719.7355297431,145961.2679767203,1.0
5,12,739219.1310551738,103667.53812719768,1.0
5,13,648311.4084333177,74609.6228162635,1.0
5,14,610159.1980050355,67155.016180449,1.0
5,15,593516.8584885516,49497.14883193218,1.0
5,16,545188.9727125725,36692.852903200146,1.0
5,17,475369.3114281405,32834.9489697648,1.0
5,18,455814.27471861144,31090.836406275233,1.0
5,19,427236.14338544774,27274.93412123001,1.0
5,20,419494.8455181711,22812.8455417199,1.0
5,21,382446.4206600373,14194.311693345537,1.0
5,22,379238.6784326965,11700.230443766908,1.0
5,23,378087.4473558587,9799.530546354228,1.0
5,24,368328.910232535,9328.559822243582,1.0
5,25,356171.7966802724,7621.061923609571,1.0
5,26,350870.7802483384,6458.147049937391,1.0
5,27,344184.2109422084,5433.579541703773,1.0
5,28,310410.65525978844,4940.282781440991,1.0
5,29,300831.48268857866,3692.4650758875628,1.0
5,30,287839.8996141265,3283.7650039767027,1.0
5,31,221085.62897141208,2108.8925855505963,1.0
5,32,217679.91980580078,1833.277838323177,1.0
5,33,192001.0474441117,1617.539408979071,1.0
5,34,149719.98252107308,1511.4517089387505,1.0
5,35,140397.07189172454,1020.4053254918196,1.0
5,36,125622.0679825563,788.4567496947848,1.0
5,37,116349.68495306215,482.2197643126622,1.0
5,38,98762.42938914974,394.75248284826824,1.0
5,39,97727.56775016813,218.6694082171054,1.0
5,40,78946.56836746373,88.23435006160138,1.0
5,41,71309.33402688541,23.814592412127514,1.0
5,42,50938.298441307306,15.528143503900852,1.0
5,43,2779.19283627099,0.00026192303346395595,1.0
5,44,2734.2675987572366,0.00015108292933066044,1.0
5,45,2424.390495174125,4.592479426354172e-05,1.0
5,46,1145.955149968931,3.4481802161860405e-05,1.0
5,47,826.6998089348024,2.199308670390747e-05,1.0
5,48,582.3498747603253,1.0846942177096274e-05,1.0
5,49,0.0020642422737249485,1.0029093483741371e-05,1.0
5,50,0.0018948153431940075,1.6703221952021472e-06,1.0
5,51,0.000927792119463092,1.0685220889318e-06,1.0
5,52,0.0008227471256765688,2.9339734392591074e-07,1.0
5,53,0.00048381134859499223,6.67510312840011e-08,1.0
5,54,0.00047099641759955775,2.6737434763675605e-09,1.0
5,55,0.00038867796850621244,4.925559893404945e-10,1.0
5,56,0.0002693514641435612,3.849865517098943e-10,1.0
5,57,0.00024271519776869547,0.0,1.0
5,58,0.00016296101435153167,-2.3954982845940334e-10,1.0
5,59,0.00013379641431207525,-7.68708815734497e-10,1.0
5,60,1e-07,-2.0985122876484034e-09,1.0
25,1,7127342.134107858,15684271.110434663,0.6
25,2,2287162.454210235,3394507.2584378826,0.6
25,3,1956323.0449313025,2644757.157757746,0.6
25,4,1341072.9590444942,1848361.1381882967,0.6
25,5,1260578.6567693,1223686.9102807739,0.6
25,6,1187185.062466466,575637.1313139789,0.6
25,7,1023771.1478396399,418168.2629026215,0.6
25,8,1007150.576311755,312627.30911665224,0.6
25,9,923199.4279894793,257959.78116298307,0.6
25,10,879201.0186757062,191729.53620337788,0.6
25,11,664140.2091697616,145961.2679767203,0.6
25,12,662028.2622935186,103667.53812719768,0.6
25,13,583370.1145852396,74609.6228162635,0.6
25,14,511853.1434663693,67155.016180449,0.6
25,15,431505.4679501117,49497.14883193218,0.6
25,16,423917.9812682051,36692.852903200146,0.6
25,17,409613.7318928906,32834.9489697648,0.6
25,18,345359.96800966567,31090.836406275233,0.6
25,19,335467.84729570354,27274.93412123001,0.6
25,20,292160.74688574113,22812.8455417199,0.6
25,21,289361.724652097,14194.311693345537,0.6
25,22,284560.0779364718,11700.230443766908,0.6
25,23,275347.1243884957,9799.530546354228,0.6
25,24,258307.71400292264,9328.559822243582,0.6
25,25,244243.45818317516,7621.061923609571,0.6
25,26,240361.00316960723,6458.147049937391,0.6
25,27,222125.00173935393,5433.579541703773,0.6
25,28,217441.5546857974,4940.282781440991,0.6
25,29,203550.18333752226,3692.4650758875628,0.6
25,30,200026.33579409067,3283.7650039767027,0.6
25,31,192125.60735738467,2108.8925855505963,0.6
25,32,159634.03015599164,1833.277838323177,0.6
25,33,134016.01972181996,1617.539408979071,0.6
25,34,106440.01685376107,1511.4517089387505,0.6
25,35,94883.64832869823,1020.4053254918196,0.6
25,36,92701.99293331828,788.4567496947848,0.6
25,37,80539.03368293964,482.2197643126622,0.6
25,38,69963.27883685625,394.75248284826824,0.6
25,39,62492.8538428175,218.6694082171054,0.6
25,40,55476.6872055931,88.23435006160138,0.6
25,41,48522.993374978716,23.814592412127514,0.6
25,42,35901.63391510716,15.528143503900852,0.6
25,43,3677.890648937782,0.00026192303346395595,0.6
25,44,2149.815522574748,0.00015108292933066044,0.6
25,45,1631.9587145111582,4.592479426354172e-05,0.6
25,46,1001.3430270806982,3.4481802161860405e-05,0.6
25,47,573.0939376869488,2.199308670390747e-05,0.6
25,48,397.74725825728825,1.0846942177096274e-05,0.6
25,49,0.0018844786835118664,1.0029093483741371e-05,0.6
25,50,0.001259852451884727,1.6703221952021472e-06,0.6
25,51,0.0006918729371432929,1.0685220889318e-06,0.6
25,52,0.000588936028127445,2.9339734392591074e-07,0.6
25,53,0.00043637548146686873,6.67510312840011e-08,0.6
25,54,0.00030236863334432736,2.6737434763675605e-09,0.6
25,55,0.00026879294593938234,4.925559893404945e-10,0.6
25,56,0.000264692965554553,3.849865517098943e-10,0.6
25,57,0.00017231517086573758,0.0,0.6
25,58,0.0001285348085839712,-2.3954982845940334e-10,0.6
25,59,9.009536707127028e-05,-7.68708815734497e-10,0.6
25,60,1.0000000000000243e-07,-2.0985122876484034e-09,0.6
50,1,11395984.404202908,15684271.110434663,0.3
50,2,2813996.634041908,3394507.2584378826,0.3
50,3,2212563.303971884,2644757.157757746,0.3
50,4,1533964.3837887747,1848361.1381882967,0.3
50,5,1150900.2050334457,1223686.9102807739,0.3
50,6,824155.7762452709,575637.1313139789,0.3
50,7,603156.1310280483,418168.2629026215,0.3
50,8,592682.7648260632,312627.30911665224,0.3
50,9,531134.1015349582,257959.78116298307,0.3
50,10,485379.2155660948,191729.53620337788,0.3
50,11,468303.9477421138,145961.2679767203,0.3
50,12,388266.18215284334,103667.53812719768,0.3
50,13,373488.0394318884,74609.6228162635,0.3
50,14,332953.40583382087,67155.016180449,0.3
50,15,321968.2548285205,49497.14883193218,0.3
50,16,262159.86168713664,36692.852903200146,0.3
50,17,233063.5605253751,32834.9489697648,0.3
50,18,218556.22342174983,31090.836406275233,0.3
50,19,209889.61128203024,27274.93412123001,0.3
50,20,183144.14582037594,22812.8455417199,0.3
50,21,179986.75030988234,14194.311693345537,0.3
50,22,174594.54544999986,11700.230443766908,0.3
50,23,159161.20467628192,9799.530546354228,0.3
50,24,154321.10875577788,9328.559822243582,0.3
50,25,151736.30445896919,7621.061923609571,0.3
50,26,136885.62516777165,6458.147049937391,0.3
50,27,122728.40164271835,5433.579541703773,0.3
50,28,120727.5246571141,4940.282781440991,0.3
50,29,119041.03009339893,3692.4650758875628,0.3
50,30,113709.75039978446,3283.7650039767027,0.3
50,31,106336.75136319057,2108.8925855505963,0.3
50,32,99529.46925717208,1833.277838323177,0.3
50,33,76992.19756174102,1617.539408979071,0.3
50,34,65707.53004041965,1511.4517089387505,0.3
50,35,56740.89788099919,1020.4053254918196,0.3
50,36,50565.88328679441,788.4567496947848,0.3
50,37,44876.423743209416,482.2197643126622,0.3
50,38,41070.163544189665,394.75248284826824,0.3
50,39,33207.55873085513,218.6694082171054,0.3
50,40,31166.47928690558,88.23435006160138,0.3
50,41,26667.25304834336,23.814592412127514,0.3
50,42,20511.784027289457,15.528143503900852,0.3
50,43,4041.460210495025,0.00026192303346395595,0.3
50,44,1642.5822817426647,0.00015108292933066044,0.3
50,45,920.7093300826727,4.592479426354172e-05,0.3
50,46,754.9609363596278,3.4481802161860405e-05,0.3
50,47,305.66670650204384,2.199308670390747e-05,0.3
50,48,217.61092682793858,1.0846942177096274e-05,0.3
50,49,0.0011921717675940108,1.0029093483741371e-05,0.3
50,50,0.0006684096607209363,1.6703221952021472e-06,0.3
50,51,0.00039435762596534837,1.0685220889318e-06,0.3
50,52,0.0003425002315348973,2.9339734392591074e-07,0.3
50,53,0.00030249770625585104,6.67510312840011e-08,0.3
50,54,0.0002676662398155212,2.6737434763675605e-09,0.3
50,55,0.00017135566680451624,4.925559893404945e-10,0.3
50,56,0.00013957540251034587,3.849865517098943e-10,0.3
50,57,0.00010062929098455081,0.0,0.3
50,58,9.189545031489407e-05,-2.3954982845940334e-10,0.3
50,59,4.8519320335860926e-05,-7.68708815734497e-10,0.3
50,60,1.0000000000000243e-07,-2.0985122876484034e-09,0.3
100,1,13538949.187114209,15684271.110434663,0.15
100,2,3100481.7582783196,3394507.2584378826,0.15
100,3,2416803.432232715,2644757.157757746,0.15
100,4,1689418.5517034994,1848361.1381882967,0.15
100,5,1184599.621254136,1223686.9102807739,0.15
100,6,644513.4634535842,575637.1313139789,0.15
100,7,527132.8987490967,418168.2629026215,0.15
100,8,360648.54339826456,312627.30911665224,0.15
100,9,333878.33519706747,257959.78116298307,0.15
100,10,298567.6463735385,191729.53620337788,0.15
100,11,279849.9172220361,145961.2679767203,0.15
100,12,249453.94541615233,103667.53812719768,0.15
100,13,241307.0761490188,74609.6228162635,0.15
100,14,228660.68951291442,67155.016180449,0.15
100,15,172095.3263991151,49497.14883193218,0.15
100,16,167955.48188555226,36692.852903200146,0.15
100,17,161786.88573263612,32834.9489697648,0.15
100,18,158054.4248791152,31090.836406275233,0.15
100,19,124986.03268182669,27274.93412123001,0.15
100,20,120130.59313128635,22812.8455417199,0.15
100,21,114382.82474390895,14194.311693345537,0.15
100,22,104076.05261014136,11700.230443766908,0.15
100,23,93335.40218070609,9799.530546354228,0.15
100,24,92218.52324715577,9328.559822243582,0.15
100,25,90129.62507468129,7621.061923609571,0.15
100,26,82594.4725257933,6458.147049937391,0.15
100,27,78361.4928693442,5433.579541703773,0.15
100,28,65937.29902388187,4940.282781440991,0.15
100,29,63163.805482988326,3692.4650758875628,0.15
100,30,62782.622582901364,3283.7650039767027,0.15
100,31,57537.932379192076,2108.8925855505963,0.15
100,32,53812.29419985484,1833.277838323177,0.15
100,33,51000.31597962578,1617.539408979071,0.15
100,34,41331.84559896627,1511.4517089387505,0.15
100,35,33500.41903506817,1020.4053254918196,0.15
100,36,27488.055322063894,788.4567496947848,0.15
100,37,26236.36103264139,482.2197643126622,0.15
100,38,24344.700435236104,394.75248284826824,0.15
100,39,17857.795027454522,218.6694082171054,0.15
100,40,17326.515584408444,88.23435006160138,0.15
100,41,14660.585693370422,23.814592412127514,0.15
100,42,11683.584226963281,15.528143503900852,0.15
100,43,4063.930019378083,0.00026192303346395595,0.15
100,44,1320.1881844454438,0.00015108292933066044,0.15
100,45,670.115740492016,4.592479426354172e-05,0.15
100,46,478.7217785824892,3.4481802161860405e-05,0.15
100,47,165.28615257242902,2.199308670390747e-05,0.15
100,48,123.20467789298796,1.0846942177096274e-05,0.15
100,49,0.0006884090877747136,1.0029093483741371e-05,0.15
100,50,0.00035064121367385547,1.6703221952021472e-06,0.15
100,51,0.00027088509991589967,1.0685220889318e-06,0.15
