axis,support_side,control,n_pairs,mean_gain,population_sd
0,0,EXP010,10,0.08452409387353048,0.008557925475471068
0,0,EXPF,10,0.07192557557919425,0.008014714142250544
0,0,ASTRA_AGF,10,0.019287724059532874,0.00891157057453024
0,1,EXP010,10,0.04826780860627413,0.01401041846275199
0,1,EXPF,10,0.021076788961878045,0.0144689364970899
0,1,ASTRA_AGF,10,-0.028669536463303745,0.013784454651764833
1,0,EXP010,10,0.11188436720805903,0.008997477286976955
1,0,EXPF,10,0.08081878278936663,0.006347526978004953
1,0,ASTRA_AGF,10,0.010977022471827969,0.0053233259957812026
1,1,EXP010,10,0.06122354400948513,0.012623226233745018
1,1,EXPF,10,0.034307445937930794,0.010426127878062472
1,1,ASTRA_AGF,10,-0.011418130391879866,0.006054200663650052
