method,budget,trial,bin_low,bin_high,count,mean_confidence,accuracy
ASTRA_AGF,200,0,0.0,0.1,0,,
ASTRA_AGF,200,0,0.1,0.2,0,,
ASTRA_AGF,200,0,0.2,0.30000000000000004,335,0.2876845162006709,0.3492537313432836
ASTRA_AGF,200,0,0.30000000000000004,0.4,5460,0.35724059585239254,0.4987179487179487
ASTRA_AGF,200,0,0.4,0.5,6419,0.44795363880147765,0.668172612556473
ASTRA_AGF,200,0,0.5,0.6,4994,0.5472889551665683,0.802563075690829
ASTRA_AGF,200,0,0.6000000000000001,0.7000000000000001,3590,0.6475251261647913,0.9186629526462395
ASTRA_AGF,200,0,0.7000000000000001,0.8,2516,0.7459924444724055,0.9654213036565977
ASTRA_AGF,200,0,0.8,0.9,1012,0.8386816380091199,0.9881422924901185
ASTRA_AGF,200,0,0.9,1.0,66,0.9191353562382235,1.0
Coordinate_RF,200,0,0.0,0.1,0,,
Coordinate_RF,200,0,0.1,0.2,0,,
Coordinate_RF,200,0,0.2,0.30000000000000004,275,0.28893668601159644,0.38545454545454544
Coordinate_RF,200,0,0.30000000000000004,0.4,5039,0.3579731634515997,0.5128001587616591
Coordinate_RF,200,0,0.4,0.5,6255,0.44889164721256913,0.6752997601918466
Coordinate_RF,200,0,0.5,0.6,4812,0.5488144967846503,0.8239817123857024
Coordinate_RF,200,0,0.6000000000000001,0.7000000000000001,3844,0.6472293517734539,0.913111342351717
Coordinate_RF,200,0,0.7000000000000001,0.8,2715,0.7455418200002735,0.9627992633517496
Coordinate_RF,200,0,0.8,0.9,1354,0.8380302081331711,0.983751846381093
Coordinate_RF,200,0,0.9,1.0,98,0.9201455729274567,1.0
