file,method,budget,episodes,mean,population_sd,repeat
adaptive_leaf2_spatial.json,blend,5,10,0.6169991142675598,0.010558028675559307,False
adaptive_leaf2_spatial.json,blend_gaussian,5,10,0.626381530151742,0.012834414882635054,False
adaptive_leaf2_spatial.json,local,5,10,0.5027415517394134,0.04206447275780139,False
adaptive_leaf2_spatial.json,local_gaussian,5,10,0.5170923766115691,0.04667254310428978,False
adaptive_leaf2_spatial.json,blend,25,10,0.6595113764710516,0.021129330828477594,False
adaptive_leaf2_spatial.json,blend_gaussian,25,10,0.6800450962407376,0.023213965146994003,False
adaptive_leaf2_spatial.json,local,25,10,0.6210709293064944,0.025280753299279077,False
adaptive_leaf2_spatial.json,local_gaussian,25,10,0.6479510987730003,0.03042940047289154,False
adaptive_leaf2_spatial.json,blend,50,10,0.6573334722420123,0.019610398906468107,False
adaptive_leaf2_spatial.json,blend_gaussian,50,10,0.682500794728105,0.022163165770318186,False
adaptive_leaf2_spatial.json,local,50,10,0.6369397541695431,0.019419732759378958,False
adaptive_leaf2_spatial.json,local_gaussian,50,10,0.664867459609335,0.025422418878588874,False
adaptive_leaf2_spatial.json,blend,100,10,0.6606364180898546,0.021981203248792554,False
adaptive_leaf2_spatial.json,blend_gaussian,100,10,0.687690124616505,0.024764209833888884,False
adaptive_leaf2_spatial.json,local,100,10,0.6506932760764966,0.022373601427970593,False
adaptive_leaf2_spatial.json,local_gaussian,100,10,0.679821847388961,0.024696134809208223,False
adaptive_leaf2_spatial.json,blend,200,10,0.6620380722985901,0.019627458716559572,False
adaptive_leaf2_spatial.json,blend_gaussian,200,10,0.6898301561543956,0.021118955368909693,False
adaptive_leaf2_spatial.json,local,200,10,0.6572061098429345,0.019788859214606134,False
adaptive_leaf2_spatial.json,local_gaussian,200,10,0.686488433460839,0.02074048116488388,False
audit.json,EXP010,5,10,0.5524282512915606,0.05953945456097259,False
audit.json,EXPF,5,10,0.552745164528418,0.0364655502705781,False
audit.json,H_4k,5,10,0.5163813512378488,0.07157213247220826,False
audit.json,H_half,5,10,0.5426974688578831,0.04502271403408382,False
audit.json,H_k,5,10,0.53582450072864,0.0519077174421931,False
audit.json,H_mean,5,10,0.5652739813598718,0.04343059338590209,False
audit.json,LR60,5,10,0.546774279954254,0.031061638972229355,False
audit.json,LR60_smooth,5,10,0.5636364150327634,0.03601506708320061,False
audit.json,RF60,5,10,0.5369406246559877,0.03708823331776506,False
audit.json,RF60_smooth,5,10,0.5548264230214242,0.0400981856548064,False
audit.json,blend_0.00,5,10,0.5369406246559877,0.03708823331776506,False
audit.json,blend_0.25,5,10,0.5761189873680295,0.03348901831621735,False
audit.json,blend_0.50,5,10,0.6007830315422847,0.02391432257602247,False
audit.json,blend_0.75,5,10,0.5871549969823903,0.01588362440982541,False
audit.json,blend_1.00,5,10,0.529592329048082,7.423586774415969e-05,False
audit.json,pool_F,5,10,0.5323908522367942,0.041409205629225475,False
audit.json,pool_H,5,10,0.50940220900252,0.0585251034316249,False
audit.json,pool_RF60,5,10,0.511426860607185,0.03127486021605067,False
audit.json,pool_RF60_smooth,5,10,0.5398300598317296,0.03995974509198207,False
audit.json,pool_blend_0.00,5,10,0.511426860607185,0.03127486021605067,False
audit.json,pool_blend_0.25,5,10,0.5742509907629817,0.027887847712299588,False
audit.json,pool_blend_0.50,5,10,0.5922233486816821,0.018026309613625374,False
audit.json,pool_blend_0.75,5,10,0.5688575126723523,0.00838188862719111,False
audit.json,pool_blend_1.00,5,10,0.529592329048082,7.423586774415969e-05,False
audit.json,pool_metric,5,10,0.4999014801526469,0.06767969810692691,False
audit.json,EXP010,25,10,0.6121741816869667,0.013057264399624555,False
audit.json,EXPF,25,10,0.6380096808883864,0.014197329025392124,False
audit.json,H_4k,25,10,0.6204902912657795,0.013698416695338427,False
audit.json,H_half,25,10,0.6261566581357354,0.013794750479252557,False
audit.json,H_k,25,10,0.6326834814807001,0.013910829250932882,False
audit.json,H_mean,25,10,0.6382252227102334,0.01452363888321306,False
audit.json,LR60,25,10,0.6296320502611359,0.016244882976425186,False
audit.json,LR60_smooth,25,10,0.6534189097847128,0.015269252229607493,False
audit.json,RF60,25,10,0.6389018915202891,0.016987843097234633,False
audit.json,RF60_smooth,25,10,0.664676011058363,0.015333130731401096,False
audit.json,blend_0.00,25,10,0.6389018915202891,0.016987843097234633,False
audit.json,blend_0.25,25,10,0.6463452404078686,0.0152636771930591,False
audit.json,blend_0.50,25,10,0.6457917746171985,0.012485662056789219,False
audit.json,blend_0.75,25,10,0.6172311581779034,0.008795827214525547,False
